date,confirmed,deceased,recovered
2020-02-27,1,0,0
2020-02-28,1,0,0
2020-02-29,3,0,0
2020-03-01,4,0,0
2020-03-02,4,0,0
2020-03-03,6,0,0
2020-03-04,10,0,0
2020-03-05,10,0,0
2020-03-06,23,0,1
2020-03-07,23,0,1
2020-03-08,35,0,1
2020-03-09,90,0,1
2020-03-10,262,0,1
2020-03-11,442,0,1
2020-03-12,615,0,1
2020-03-13,801,0,1
2020-03-14,827,1,1
2020-03-15,864,2,1
2020-03-16,914,3,1
2020-03-17,977,4,1
2020-03-18,1057,4,1
2020-03-19,1151,6,1
2020-03-20,1255,9,1
2020-03-21,1326,13,1
2020-03-22,1395,13,1
2020-03-23,1450,24,1
2020-03-24,1591,32,1
2020-03-25,1724,34,1
2020-03-26,1877,41,1
2020-03-27,2046,52,1
2020-03-28,2201,65,1
2020-03-29,2395,72,1
2020-03-30,2577,77,1
2020-03-31,2860,90,1
2020-04-01,3107,104,894
2020-04-02,3386,123,1089
2020-04-03,3757,139,1193
2020-04-04,4077,161,1283
2020-04-05,4369,179,1327
2020-04-06,4681,187,1378
2020-04-07,5071,203,1491
2020-04-08,5402,218,1621
2020-04-09,5635,237,1736
2020-04-10,5819,247,1773
2020-04-11,5996,260,1955
2020-04-12,6174,273,2123
2020-04-13,6318,285,2235
2020-04-14,6511,299,2515
2020-04-15,6681,309,2748
2020-04-16,6879,321,3023
